geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
CH,202009,56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,511512,0,1,100,8670300,0.65,0.65,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-09,NA,NA,NA,NA
CH,202010,377,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,433,511512,0,1,100,8670300,4.35,4.99,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-10,321,3.7,573.2,0
CH,202011,2265,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2698,511512,0,1,100,8670300,26.12,31.12,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-11,1888,21.77,500.8,0
CH,202012,6559,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9257,511512,0,1,100,8670300,75.65,106.77,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-12,4294,49.53,189.6,0
CH,202013,7346,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16603,511512,0,1,100,8670300,84.73,191.49,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-13,787,9.08,12,0
CH,202014,6025,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22628,511512,0,1,100,8670300,69.49,260.98,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-14,-1321,-15.24,-18,0
CH,202015,3602,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26230,511512,0,1,100,8670300,41.54,302.53,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-15,-2423,-27.95,-40.2,0
CH,202016,1839,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28069,511512,0,1,100,8670300,21.21,323.74,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-16,-1763,-20.33,-48.9,0
CH,202017,1167,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29236,511512,0,1,100,8670300,13.46,337.2,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-17,-672,-7.75,-36.5,0
CH,202018,700,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29936,511512,0,1,100,8670300,8.07,345.27,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-18,-467,-5.39,-40,0
CH,202019,401,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30337,511512,0,1,100,8670300,4.62,349.9,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-19,-299,-3.45,-42.7,0
CH,202020,231,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30568,511512,0,1,100,8670300,2.66,352.56,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-20,-170,-1.96,-42.4,0
CH,202021,154,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30722,511512,0,1,100,8670300,1.78,354.34,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-21,-77,-0.88,-33.3,0
CH,202022,126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30848,511512,0,1,100,8670300,1.45,355.79,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-22,-28,-0.33,-18.2,0
CH,202023,98,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30946,511512,0,1,100,8670300,1.13,356.92,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-23,-28,-0.32,-22.2,0
CH,202024,140,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31086,511512,0,1,100,8670300,1.61,358.53,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-24,42,0.48,42.9,0
CH,202025,171,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31257,511512,0,1,100,8670300,1.97,360.51,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-25,31,0.36,22.1,0
CH,202026,357,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31614,511512,0,1,100,8670300,4.12,364.62,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-26,186,2.15,108.8,0
CH,202027,684,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32298,511512,0,1,100,8670300,7.89,372.51,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-27,327,3.77,91.6,0
CH,202028,636,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32934,511512,0,1,100,8670300,7.34,379.85,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-28,-48,-0.55,-7,0
CH,202029,715,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33649,511512,0,1,100,8670300,8.25,388.09,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-29,79,0.91,12.4,0
CH,202030,826,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34475,511512,0,1,100,8670300,9.53,397.62,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-30,111,1.28,15.5,0
CH,202031,1155,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35630,511512,0,1,100,8670300,13.32,410.94,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-31,329,3.79,39.8,0
CH,202032,1100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36730,511512,0,1,100,8670300,12.69,423.63,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-32,-55,-0.63,-4.8,0
CH,202033,1574,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38304,511512,0,1,100,8670300,18.15,441.78,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-33,474,5.46,43.1,0
CH,202034,1855,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40159,511512,0,1,100,8670300,21.39,463.18,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-34,281,3.24,17.9,0
CH,202035,2092,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42251,511512,0,1,100,8670300,24.13,487.31,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-35,237,2.74,12.8,0
CH,202036,2457,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44708,511512,0,1,100,8670300,28.34,515.65,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-36,365,4.21,17.4,0
CH,202037,2860,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47568,511512,0,1,100,8670300,32.99,548.63,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-37,403,4.65,16.4,0
CH,202038,2906,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50474,511512,0,1,100,8670300,33.52,582.15,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-38,46,0.53,1.6,0
CH,202039,2222,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52696,511512,0,1,100,8670300,25.63,607.78,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-39,-684,-7.89,-23.5,0
CH,202040,3462,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56158,511512,0,1,100,8670300,39.93,647.71,COVID19Cases,,2021-12-16_07-53-19,isoweek,2020-40,1240,14.3,55.8,0
