date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,130,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-01-28,moderna,fully_vaccinated,0,0,179,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-01-29,moderna,fully_vaccinated,0,0,189,0,NA,NA,NA,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-01-30,moderna,fully_vaccinated,0,0,192,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-01-31,moderna,fully_vaccinated,0,0,193,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-01,moderna,fully_vaccinated,0,0,210,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-02,moderna,fully_vaccinated,0,0,236,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-03,moderna,fully_vaccinated,0,0,301,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-04,moderna,fully_vaccinated,0,0,404,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-05,moderna,fully_vaccinated,0,0,444,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-06,moderna,fully_vaccinated,0,0,446,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-07,moderna,fully_vaccinated,0,0,447,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-08,moderna,fully_vaccinated,0,0,475,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-09,moderna,fully_vaccinated,0,0,523,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-10,moderna,fully_vaccinated,0,0,687,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-11,moderna,fully_vaccinated,0,0,861,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-12,moderna,fully_vaccinated,0,0,1692,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-13,moderna,fully_vaccinated,0,0,3802,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-14,moderna,fully_vaccinated,0,0,3882,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-15,moderna,fully_vaccinated,0,0,5295,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-16,moderna,fully_vaccinated,0,0,9368,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-17,moderna,fully_vaccinated,0,0,14990,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-18,moderna,fully_vaccinated,0,0,22127,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-19,moderna,fully_vaccinated,0,0,29028,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-20,moderna,fully_vaccinated,0,0,32520,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-21,moderna,fully_vaccinated,0,0,32983,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-22,moderna,fully_vaccinated,0,0,40690,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-23,moderna,fully_vaccinated,0,0,52172,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-24,moderna,fully_vaccinated,0,0,64920,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-25,moderna,fully_vaccinated,0,0,78907,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-02-26,moderna,fully_vaccinated,0,0,91665,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
