date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202053,AG,age,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202101,AG,age,3,indication,694072,3,0,0.75,75,42.9,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202102,AG,age,2,indication,694072,5,0,0.143,14.299999999999999,23.799999999999997,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202103,AG,age,4,indication,694072,9,0,0.024,2.4,4.8,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202104,AG,age,644,indication,694072,653,0.1,0.669,66.9,56.8,0.09,0.09,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202105,AG,age,1613,indication,694072,2266,0.3,0.623,62.3,60.6,0.23,0.33,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202106,AG,age,1491,indication,694072,3757,0.5,0.582,58.199999999999996,59.599999999999994,0.21,0.54,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202107,AG,age,3629,indication,694072,7386,1.1,0.686,68.60000000000001,63.7,0.52,1.06,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202108,AG,age,3646,indication,694072,11032,1.6,0.559,55.900000000000006,60.9,0.53,1.59,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202109,AG,age,2915,indication,694072,13947,2,0.489,48.9,57.9,0.42,2.01,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202110,AG,age,1934,indication,694072,15881,2.3,0.412,41.199999999999996,55.2,0.28,2.29,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202111,AG,age,2170,indication,694072,18051,2.6,0.42,42,53.2,0.31,2.6,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202112,AG,age,4527,indication,694072,22578,3.3,0.535,53.5,53.300000000000004,0.65,3.25,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202113,AG,age,3589,indication,694072,26167,3.8,0.563,56.3,53.7,0.52,3.77,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202114,AG,age,4138,indication,694072,30305,4.4,0.464,46.400000000000006,52.5,0.6,4.37,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202115,AG,age,2065,indication,694072,32370,4.7,0.321,32.1,50.5,0.3,4.66,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202116,AG,age,2385,indication,694072,34755,5,0.289,28.9,48,0.34,5.01,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202117,AG,age,1601,indication,694072,36356,5.2,0.164,16.400000000000002,44.3,0.23,5.24,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202118,AG,age,2532,indication,694072,38888,5.6,0.208,20.8,41.199999999999996,0.36,5.6,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202119,AG,age,1851,indication,694072,40739,5.9,0.128,12.8,37.5,0.27,5.87,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202120,AG,age,1572,indication,694072,42311,6.1,0.073,7.3,32.5,0.23,6.1,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202121,AG,age,878,indication,694072,43189,6.2,0.05,5,29.299999999999997,0.13,6.22,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202122,AG,age,2130,indication,694072,45319,6.5,0.082,8.200000000000001,26.1,0.31,6.53,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202123,AG,age,1559,indication,694072,46878,6.8,0.08,8,24.3,0.22,6.75,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202124,AG,age,1515,indication,694072,48393,7,0.085,8.5,22.900000000000002,0.22,6.97,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202125,AG,age,1184,indication,694072,49577,7.1,0.05,5,21.099999999999998,0.17,7.14,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202126,AG,age,1206,indication,694072,50783,7.3,0.046,4.6,19.400000000000002,0.17,7.32,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202127,AG,age,863,indication,694072,51646,7.4,0.028,2.8000000000000003,17.7,0.12,7.44,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202128,AG,age,498,indication,694072,52144,7.5,0.02,2,16.5,0.07,7.51,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202129,AG,age,532,indication,694072,52676,7.6,0.036,3.5999999999999996,15.9,0.08,7.59,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202130,AG,age,461,indication,694072,53137,7.7,0.047,4.7,15.6,0.07,7.66,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202131,AG,age,606,indication,694072,53743,7.7,0.085,8.5,15.4,0.09,7.74,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202132,AG,age,803,indication,694072,54546,7.9,0.124,12.4,15.4,0.12,7.86,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202133,AG,age,717,indication,694072,55263,8,0.132,13.200000000000001,15.299999999999999,0.1,7.96,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202134,AG,age,642,indication,694072,55905,8.1,0.105,10.5,15.299999999999999,0.09,8.05,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202135,AG,age,492,indication,694072,56397,8.1,0.088,8.799999999999999,15.2,0.07,8.13,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202136,AG,age,575,indication,694072,56972,8.2,0.095,9.5,15.1,0.08,8.21,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202137,AG,age,678,indication,694072,57650,8.3,0.09,9,15,0.1,8.31,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202138,AG,age,983,indication,694072,58633,8.4,0.109,10.9,14.899999999999999,0.14,8.45,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202139,AG,age,1028,indication,694072,59661,8.6,0.106,10.6,14.799999999999999,0.15,8.6,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202140,AG,age,796,indication,694072,60457,8.7,0.08,8,14.6,0.11,8.71,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202141,AG,age,1121,indication,694072,61578,8.9,0.106,10.6,14.499999999999998,0.16,8.87,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202142,AG,age,1013,indication,694072,62591,9,0.128,12.8,14.499999999999998,0.15,9.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202143,AG,age,770,indication,694072,63361,9.1,0.134,13.4,14.499999999999998,0.11,9.13,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202144,AG,age,357,indication,694072,63718,9.2,0.097,9.700000000000001,14.399999999999999,0.05,9.18,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202145,AG,age,374,indication,694072,64092,9.2,0.126,12.6,14.399999999999999,0.05,9.23,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202146,AG,age,221,indication,694072,64313,9.3,0.086,8.6,14.399999999999999,0.03,9.27,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202147,AG,age,252,indication,694072,64565,9.3,0.103,10.299999999999999,14.299999999999999,0.04,9.3,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202148,AG,age,222,indication,694072,64787,9.3,0.088,8.799999999999999,14.299999999999999,0.03,9.33,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202149,AG,age,227,indication,694072,65014,9.4,0.073,7.3,14.299999999999999,0.03,9.37,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202052,AG,chronic_disease,0,indication,694072,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202053,AG,chronic_disease,0,indication,694072,0,0,0,0,0,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202101,AG,chronic_disease,1,indication,694072,1,0,0.25,25,14.299999999999999,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202102,AG,chronic_disease,1,indication,694072,2,0,0.071,7.1,9.5,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202103,AG,chronic_disease,9,indication,694072,11,0,0.055,5.5,5.8999999999999995,0,0,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202104,AG,chronic_disease,140,indication,694072,151,0,0.145,14.499999999999998,13.100000000000001,0.02,0.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202105,AG,chronic_disease,422,indication,694072,573,0.1,0.163,16.3,15.299999999999999,0.06,0.08,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
