date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-01-27,moderna,fully_vaccinated,0,0,127,0,NA,NA,NA,NA,NA,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-01-28,moderna,fully_vaccinated,0,0,176,0,NA,NA,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-01-29,moderna,fully_vaccinated,0,0,184,0,NA,NA,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-01-30,moderna,fully_vaccinated,0,0,NA,NA,NA,0,NA,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-01-31,moderna,fully_vaccinated,0,0,NA,NA,NA,0,NA,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-01,moderna,fully_vaccinated,0,0,201,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-02,moderna,fully_vaccinated,0,0,227,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-03,moderna,fully_vaccinated,0,0,292,0,NA,0,0,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-04,moderna,fully_vaccinated,0,0,395,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-05,moderna,fully_vaccinated,0,0,435,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-06,moderna,fully_vaccinated,0,0,436,0,NA,0,0,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-07,moderna,fully_vaccinated,0,0,437,0,NA,0.14,32.04,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-08,moderna,fully_vaccinated,0,0,465,0,NA,0.14,30.11,NA,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-09,moderna,fully_vaccinated,0,0,513,0,NA,0.14,27.29,0,0,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-10,moderna,fully_vaccinated,1,1,676,147.93,NA,0.14,20.71,100,9.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-11,moderna,fully_vaccinated,0,1,850,0,NA,0.14,16.47,0,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-12,moderna,fully_vaccinated,0,1,1681,0,NA,0.14,8.33,NA,8.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-13,moderna,fully_vaccinated,0,1,3791,0,NA,0.29,7.65,0,7.14,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-14,moderna,fully_vaccinated,0,1,3871,0,NA,0.29,7.49,0,6.25,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-15,moderna,fully_vaccinated,0,1,5284,0,NA,0.29,5.49,0,5.56,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-16,moderna,fully_vaccinated,1,2,9355,10.69,NA,0.29,3.1,33.33,9.52,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-17,moderna,fully_vaccinated,1,3,14977,6.68,NA,0.29,1.94,100,13.64,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-18,moderna,fully_vaccinated,0,3,22115,0,NA,0.43,1.94,0,12.5,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-19,moderna,fully_vaccinated,0,3,29010,0,NA,0.43,1.48,0,10.71,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-20,moderna,fully_vaccinated,0,3,32502,0,NA,0.29,0.89,0,10.34,28.57,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-21,moderna,fully_vaccinated,1,4,32965,3.03,NA,0.14,0.42,100,13.33,14.29,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-22,moderna,fully_vaccinated,0,4,40675,0,NA,0.14,0.34,0,12.5,14.29,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-23,moderna,fully_vaccinated,0,4,52158,0,NA,0.14,0.27,0,10.53,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
2021-02-24,moderna,fully_vaccinated,0,4,64901,0,NA,0.14,0.22,0,10.26,NA,CHFL,COVID19Hosp,vaccine,limited,2021-12-06_07-48-24
