type_variant,type,entries,geoRegion,datum,date_unit,version
,COVID19CT_Iso,59627,CHFL,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Qua,39341,CHFL,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Entry,NA,CHFL,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_reporting_cantons,22,CHFL,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,59284,CH,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Qua,38976,CH,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Entry,NA,CH,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_reporting_cantons,22,CH,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,124,AI,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,409,AR,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,7120,BE,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,2680,BL,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,1328,BS,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,343,FL,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,6219,GE,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,364,GL,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,1499,GR,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,693,JU,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,3962,LU,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,1057,NE,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,845,OW,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,3250,SG,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,550,SH,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,2317,SO,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,1695,SZ,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,3202,TG,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,668,TI,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,302,UR,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,8083,VD,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,1874,VS,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Iso,727,ZG,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Qua,83,AI,2021-12-16,day,2021-12-16_07-53-19
,COVID19CT_Qua,319,AR,2021-12-16,day,2021-12-16_07-53-19
