date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202053,AG,age,2,indication,694072,2,NA,0.008,0.8,0.8,0,0,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202101,AG,age,1673,indication,694072,1675,NA,0.663,66.3,60.4,0.24,0.24,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202102,AG,age,2121,indication,694072,3796,NA,0.605,60.5,60.5,0.31,0.55,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202103,AG,age,3967,indication,694072,7763,NA,0.643,64.3,62.4,0.57,1.12,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202104,AG,age,3440,indication,694072,11203,NA,0.543,54.300000000000004,59.599999999999994,0.5,1.61,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202105,AG,age,4518,indication,694072,15721,NA,0.521,52.1,57.3,0.65,2.27,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202106,AG,age,3379,indication,694072,19100,NA,0.438,43.8,54.300000000000004,0.49,2.75,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202107,AG,age,5773,indication,694072,24873,NA,0.519,51.9,53.7,0.83,3.58,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202108,AG,age,8198,indication,694072,33071,NA,0.55,55.00000000000001,54,1.18,4.76,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202109,AG,age,7200,indication,694072,40271,NA,0.524,52.400000000000006,53.7,1.04,5.8,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202110,AG,age,5832,indication,694072,46103,NA,0.429,42.9,52.1,0.84,6.64,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202111,AG,age,3543,indication,694072,49646,NA,0.335,33.5,50.1,0.51,7.15,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202112,AG,age,6958,indication,694072,56604,NA,0.423,42.3,49,1,8.16,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202113,AG,age,5174,indication,694072,61778,NA,0.329,32.9,47.099999999999994,0.75,8.9,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202114,AG,age,6761,indication,694072,68539,NA,0.323,32.300000000000004,45,0.97,9.87,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202115,AG,age,4142,indication,694072,72681,NA,0.164,16.400000000000002,41,0.6,10.47,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202116,AG,age,3588,indication,694072,76269,NA,0.12,12,36.8,0.52,10.99,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202117,AG,age,2303,indication,694072,78572,NA,0.092,9.2,33.800000000000004,0.33,11.32,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202118,AG,age,4676,indication,694072,83248,NA,0.135,13.5,31.2,0.67,11.99,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202119,AG,age,3376,indication,694072,86624,NA,0.103,10.299999999999999,28.9,0.49,12.48,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202120,AG,age,2945,indication,694072,89569,NA,0.076,7.6,26.5,0.42,12.9,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202121,AG,age,2036,indication,694072,91605,NA,0.05,5,24.2,0.29,13.2,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202122,AG,age,3177,indication,694072,94782,NA,0.062,6.2,22,0.46,13.66,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
202123,AG,age,2372,indication,694072,97154,NA,0.048,4.8,20.200000000000003,0.34,14,COVID19VaccDosesAdministered,2021-12-06_07-48-24,detailed
