date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,vaccination_centre,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202053,AG,vaccination_centre,246,location,694072,246,NA,0.996,99.6,99.2,0.04,0.04,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202101,AG,vaccination_centre,2281,location,694072,2527,NA,0.903,90.3,91.10000000000001,0.33,0.36,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202102,AG,vaccination_centre,2782,location,694072,5309,NA,0.794,79.4,84.6,0.4,0.76,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202103,AG,vaccination_centre,4741,location,694072,10050,NA,0.768,76.8,80.7,0.68,1.45,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202104,AG,vaccination_centre,4185,location,694072,14235,NA,0.582,58.199999999999996,72.5,0.6,2.05,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202105,AG,vaccination_centre,5224,location,694072,19459,NA,0.602,60.199999999999996,68.7,0.75,2.8,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202106,AG,vaccination_centre,6336,location,694072,25795,NA,0.821,82.1,71.6,0.91,3.72,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202107,AG,vaccination_centre,9713,location,694072,35508,NA,0.873,87.3,75.3,1.4,5.12,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202108,AG,vaccination_centre,11770,location,694072,47278,NA,0.79,79,76.2,1.7,6.81,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202109,AG,vaccination_centre,10747,location,694072,58025,NA,0.782,78.2,76.5,1.55,8.36,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202110,AG,vaccination_centre,12005,location,694072,70030,NA,0.882,88.2,78.3,1.73,10.09,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202111,AG,vaccination_centre,10301,location,694072,80331,NA,0.974,97.39999999999999,80.30000000000001,1.48,11.57,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202112,AG,vaccination_centre,16176,location,694072,96507,NA,0.984,98.4,82.89999999999999,2.33,13.9,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202113,AG,vaccination_centre,15452,location,694072,111959,NA,0.983,98.3,84.7,2.23,16.13,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202114,AG,vaccination_centre,19511,location,694072,131470,NA,0.933,93.30000000000001,85.9,2.81,18.94,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202115,AG,vaccination_centre,24062,location,694072,155532,NA,0.955,95.5,87.3,3.47,22.41,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202116,AG,vaccination_centre,27391,location,694072,182923,NA,0.915,91.5,87.9,3.95,26.36,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202117,AG,vaccination_centre,23254,location,694072,206177,NA,0.931,93.10000000000001,88.4,3.35,29.71,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202118,AG,vaccination_centre,29606,location,694072,235783,NA,0.852,85.2,88,4.27,33.97,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202119,AG,vaccination_centre,27897,location,694072,263680,NA,0.852,85.2,87.7,4.02,37.99,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202120,AG,vaccination_centre,30049,location,694072,293729,NA,0.779,77.9,86.6,4.33,42.32,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202121,AG,vaccination_centre,33277,location,694072,327006,NA,0.813,81.3,86,4.79,47.11,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202122,AG,vaccination_centre,44135,location,694072,371141,NA,0.86,86,86,6.36,53.47,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202123,AG,vaccination_centre,43780,location,694072,414921,NA,0.878,87.8,86.2,6.31,59.78,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202124,AG,vaccination_centre,35662,location,694072,450583,NA,0.843,84.3,86.1,5.14,64.92,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202125,AG,vaccination_centre,29367,location,694072,479950,NA,0.816,81.6,85.8,4.23,69.15,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202126,AG,vaccination_centre,29816,location,694072,509766,NA,0.853,85.3,85.7,4.3,73.45,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202127,AG,vaccination_centre,32675,location,694072,542441,NA,0.914,91.4,86.1,4.71,78.15,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202128,AG,vaccination_centre,27663,location,694072,570104,NA,0.939,93.89999999999999,86.4,3.99,82.14,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202129,AG,vaccination_centre,17412,location,694072,587516,NA,0.911,91.10000000000001,86.5,2.51,84.65,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202130,AG,vaccination_centre,13277,location,694072,600793,NA,0.902,90.2,86.6,1.91,86.56,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202131,AG,vaccination_centre,11042,location,694072,611835,NA,0.862,86.2,86.6,1.59,88.15,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202132,AG,vaccination_centre,9449,location,694072,621284,NA,0.844,84.39999999999999,86.6,1.36,89.51,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202133,AG,vaccination_centre,10293,location,694072,631577,NA,0.852,85.2,86.6,1.48,91,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202134,AG,vaccination_centre,12967,location,694072,644544,NA,0.861,86.1,86.5,1.87,92.86,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
202135,AG,vaccination_centre,12722,location,694072,657266,NA,0.858,85.8,86.5,1.83,94.7,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed
