date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,0,sex,348814,0,0,0,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0,0
202053,AG,male,79,sex,348814,79,0.02,0.02,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.32,32
202101,AG,male,1192,sex,348814,1271,0.34,0.36,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.472,47.199999999999996
202102,AG,male,1548,sex,348814,2819,0.44,0.81,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.442,44.2
202103,AG,male,2809,sex,348814,5628,0.81,1.61,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.455,45.5
202104,AG,male,2908,sex,348814,8536,0.83,2.45,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.404,40.400000000000006
202105,AG,male,3535,sex,348814,12071,1.01,3.46,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.407,40.699999999999996
202106,AG,male,3281,sex,348814,15352,0.94,4.4,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.425,42.5
202107,AG,male,5042,sex,348814,20394,1.45,5.85,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.453,45.300000000000004
202108,AG,male,6574,sex,348814,26968,1.88,7.73,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.441,44.1
202109,AG,male,5997,sex,348814,32965,1.72,9.45,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.436,43.6
202110,AG,male,6065,sex,348814,39030,1.74,11.19,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.446,44.6
202111,AG,male,4808,sex,348814,43838,1.38,12.57,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.455,45.5
202112,AG,male,7757,sex,348814,51595,2.22,14.79,COVID19VaccDosesAdministered,2021-12-16_07-53-19,detailed,0.472,47.199999999999996
