date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,male,2,sex,348814,2,0,0,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.25,25
202053,AG,male,55,sex,348814,57,0.02,0.02,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.294,29.4
202101,AG,male,1188,sex,348814,1245,0.34,0.36,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.475,47.5
202102,AG,male,1540,sex,348814,2785,0.44,0.8,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.45,45
202103,AG,male,2864,sex,348814,5649,0.82,1.62,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.458,45.800000000000004
202104,AG,male,2383,sex,348814,8032,0.68,2.3,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.422,42.199999999999996
202105,AG,male,2373,sex,348814,10405,0.68,2.98,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.4,40
202106,AG,male,2019,sex,348814,12424,0.58,3.56,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.399,39.900000000000006
202107,AG,male,2400,sex,348814,14824,0.69,4.25,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.456,45.6
202108,AG,male,3885,sex,348814,18709,1.11,5.36,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.475,47.5
202109,AG,male,3638,sex,348814,22347,1.04,6.41,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.463,46.300000000000004
202110,AG,male,4047,sex,348814,26394,1.16,7.57,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.463,46.300000000000004
202111,AG,male,2445,sex,348814,28839,0.7,8.27,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.464,46.400000000000006
202112,AG,male,3811,sex,348814,32650,1.09,9.36,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.474,47.4
202113,AG,male,4521,sex,348814,37171,1.3,10.66,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.475,47.5
202114,AG,male,5728,sex,348814,42899,1.64,12.3,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.467,46.7
202115,AG,male,8055,sex,348814,50954,2.31,14.61,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.429,42.9
202116,AG,male,10794,sex,348814,61748,3.09,17.7,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.491,49.1
202117,AG,male,7557,sex,348814,69305,2.17,19.87,COVID19AtLeastOneDosePersons,2021-12-06_07-48-24,detailed,0.48,48
