datum,cases,vaccination_atLeastOneDosePersons,vaccination_firstBoosterPersons,vaccination_fullyVaccPersons,vaccination_partiallyVaccPersons,certificate_all,certificate_recovered,certificate_tested,certificate_vacinated,hospitalisation,hosp_capacity_icu_covid,hosp_capacity_total_covid,death
2020-02-24,1,,,,,,,,,5,,,0
2020-02-25,1,,,,,,,,,4,,,0
2020-02-26,10,,,,,,,,,9,,,0
2020-02-27,10,,,,,,,,,5,,,0
2020-02-28,10,,,,,,,,,5,,,0
2020-02-29,13,,,,,,,,,14,,,0
2020-03-01,11,,,,,,,,,10,,,0
2020-03-02,30,,,,,,,,,13,,,0
2020-03-03,33,,,,,,,,,17,,,0
2020-03-04,61,,,,,,,,,13,,,0
2020-03-05,62,,,,,,,,,18,,,2
2020-03-06,73,,,,,,,,,24,,,0
2020-03-07,49,,,,,,,,,8,,,0
2020-03-08,69,,,,,,,,,18,,,1
2020-03-09,191,,,,,,,,,29,,,0
2020-03-10,210,,,,,,,,,42,,,2
2020-03-11,333,,,,,,,,,49,,,3
2020-03-12,357,,,,,,,,,52,,,4
2020-03-13,431,,,,,,,,,58,,,3
2020-03-14,417,,,,,,,,,65,,,5
2020-03-15,326,,,,,,,,,56,,,8
2020-03-16,1060,,,,,,,,,120,,,7
2020-03-17,1082,,,,,,,,,98,,,12
2020-03-18,1206,,,,,,,,,113,,,8
2020-03-19,835,,,,,,,,,110,,,14
2020-03-20,1138,,,,,,,,,143,,,21
2020-03-21,691,,,,,,,,,118,,,19
2020-03-22,547,,,,,,,,,137,,,18
2020-03-23,1462,,,,,,,,,166,,,23
2020-03-24,1242,,,,,,,,,181,,,19
2020-03-25,1068,,,,,,,,,201,,,39
2020-03-26,1114,,,,,,,,,168,,,38
2020-03-27,1305,,,,,,,,,210,,,32
2020-03-28,722,,,,,,,,,125,,,57
2020-03-29,433,,,,,,,,,123,,,45
2020-03-30,1307,,,,,,,,,168,446.0,1308.0,58
2020-03-31,1134,,,,,,,,,127,462.0,1348.0,44
2020-04-01,1013,,,,,,,,,99,501.0,1601.0,59
2020-04-02,877,,,,,,,,,95,481.0,1623.0,61
2020-04-03,927,,,,,,,,,76,477.0,1618.0,57
2020-04-04,486,,,,,,,,,58,434.0,1559.0,55
2020-04-05,281,,,,,,,,,50,459.0,1586.0,51
2020-04-06,926,,,,,,,,,74,469.0,1606.0,50
2020-04-07,716,,,,,,,,,59,473.0,1607.0,57
2020-04-08,612,,,,,,,,,60,415.0,1338.0,58
2020-04-09,561,,,,,,,,,59,451.0,1527.0,45
2020-04-10,310,,,,,,,,,45,436.0,1399.0,52
2020-04-11,258,,,,,,,,,46,425.0,1363.0,45
2020-04-12,219,,,,,,,,,35,412.0,1252.0,36
2020-04-13,245,,,,,,,,,29,420.0,1262.0,36
2020-04-14,424,,,,,,,,,52,383.0,1295.0,37
2020-04-15,327,,,,,,,,,34,350.0,1109.0,38
2020-04-16,321,,,,,,,,,39,338.0,1037.0,38
2020-04-17,290,,,,,,,,,32,335.0,1032.0,36
2020-04-18,145,,,,,,,,,15,316.0,994.0,34
2020-04-19,87,,,,,,,,,23,280.0,908.0,22
2020-04-20,277,,,,,,,,,23,299.0,1002.0,38
2020-04-21,213,,,,,,,,,19,269.0,921.0,33
2020-04-22,155,,,,,,,,,22,260.0,889.0,27
2020-04-23,207,,,,,,,,,9,243.0,847.0,31
2020-04-24,167,,,,,,,,,13,248.0,781.0,27
2020-04-25,87,,,,,,,,,15,204.0,670.0,25
2020-04-26,61,,,,,,,,,6,205.0,680.0,13
2020-04-27,173,,,,,,,,,13,202.0,719.0,23
2020-04-28,154,,,,,,,,,15,175.0,651.0,12
2020-04-29,120,,,,,,,,,11,167.0,537.0,11
2020-04-30,101,,,,,,,,,5,169.0,590.0,16
2020-05-01,83,,,,,,,,,8,150.0,510.0,12
2020-05-02,47,,,,,,,,,7,133.0,440.0,9
2020-05-03,22,,,,,,,,,7,137.0,482.0,8
2020-05-04,90,,,,,,,,,4,130.0,457.0,9
2020-05-05,73,,,,,,,,,6,121.0,493.0,10
2020-05-06,79,,,,,,,,,3,116.0,388.0,4
2020-05-07,46,,,,,,,,,7,107.0,377.0,12
2020-05-08,59,,,,,,,,,3,87.0,325.0,7
2020-05-09,39,,,,,,,,,2,79.0,296.0,5
2020-05-10,15,,,,,,,,,6,83.0,313.0,7
2020-05-11,47,,,,,,,,,5,92.0,328.0,3
2020-05-12,42,,,,,,,,,1,80.0,327.0,1
2020-05-13,37,,,,,,,,,5,73.0,281.0,1
2020-05-14,37,,,,,,,,,3,76.0,288.0,2
2020-05-15,41,,,,,,,,,3,71.0,240.0,5
2020-05-16,15,,,,,,,,,3,52.0,161.0,1
2020-05-17,12,,,,,,,,,5,47.0,167.0,5
2020-05-18,34,,,,,,,,,3,59.0,202.0,3
2020-05-19,36,,,,,,,,,2,62.0,204.0,4
2020-05-20,29,,,,,,,,,2,50.0,176.0,0
2020-05-21,11,,,,,,,,,3,40.0,131.0,5
2020-05-22,20,,,,,,,,,4,46.0,167.0,1
2020-05-23,14,,,,,,,,,1,27.0,89.0,1
2020-05-24,10,,,,,,,,,0,22.0,72.0,0
2020-05-25,15,,,,,,,,,1,41.0,151.0,2
2020-05-26,18,,,,,,,,,5,30.0,135.0,2
2020-05-27,25,,,,,,,,,0,36.0,140.0,0
2020-05-28,30,,,,,,,,,5,32.0,129.0,0
2020-05-29,21,,,,,,,,,2,18.0,119.0,0
2020-05-30,10,,,,,,,,,3,6.0,34.0,0
2020-05-31,7,,,,,,,,,3,11.0,33.0,0
2020-06-01,3,,,,,,,,,0,23.0,63.0,0
2020-06-02,22,,,,,,,,,0,14.0,79.0,0
2020-06-03,23,,,,,,,,,2,16.0,66.0,0
2020-06-04,17,,,,,,,,,3,27.0,74.0,0
2020-06-05,15,,,,,,,,,0,10.0,48.0,0
2020-06-06,10,,,,,,,,,0,5.0,17.0,1
2020-06-07,8,,,,,,,,,0,7.0,20.0,0
2020-06-08,25,,,,,,,,,2,22.0,88.0,1
2020-06-09,11,,,,,,,,,0,11.0,53.0,0
2020-06-10,24,,,,,,,,,1,9.0,46.0,1
2020-06-11,25,,,,,,,,,1,18.0,68.0,0
2020-06-12,34,,,,,,,,,3,14.0,39.0,1
2020-06-13,9,,,,,,,,,0,2.0,6.0,1
2020-06-14,12,,,,,,,,,1,1.0,2.0,0
2020-06-15,32,,,,,,,,,1,12.0,59.0,0
2020-06-16,21,,,,,,,,,0,4.0,38.0,1
2020-06-17,18,,,,,,,,,2,8.0,32.0,0
2020-06-18,18,,,,,,,,,3,11.0,52.0,0
2020-06-19,37,,,,,,,,,5,6.0,40.0,0
2020-06-20,32,,,,,,,,,6,1.0,3.0,0
